Film,Type,Distributor/Studio,Prod 1,Prod 2,Prod 3,Prod 4,Prod 5,Prod 6,,Gross (dom.) $,Date,CPI at,today,CPI Oct. 2015,IMDB,Open wkd,OP Wk (Real),Days avail.,Theatres (peak),Notes,Link,,
Iron Man 2,,Paramount Pictures,Paramount Pictures,Marvel Entertainment,Marvel Studios,Fairview Entertainment,,,,,01/05/2010,,340586670,,7,,,,,,,,
The Jungle Book,A,Buena Vista,Walt Disney Prod.,,,,,,,73741048,01/10/1967,34,655449878,,7.6,,,,,"Re-issue: 1984, 1990",http://www.boxofficemojo.com/movies/?id=junglebook.htm,http://www.imdb.com/title/tt0061852/business?ref_=tt_dt_bus,
Avengers Assemble (The Avengers),L,Walt Disney Studios Motion Pictures,Marvel Studios,Paramount Pictures,,,,,,623357910,01/05/2012,230,645119764,,8.1,207438708,214680536,154,4349,,,,
The Lion King,A,Buena Vista Pics.,Walt Disney Pictures,Walt Disney Feature Animation, ,,,,,312855561,01/06/1994,148,622176386,,8.5,40888194,65707880,,2624,"Re-issue: 2002, 2011",,,
Pirates of the Caribbean: Dead Man's Chest,L,Buena Vista Pictures,Walt Disney Pictures,Jerry Bruckheimer Films,Second Mate Productions,,,,,423315812,01/07/2006,204,494744895,,7.3,135634554,158521135,154,4133,,,,
Finding Nemo,A,Buena Vista Pictures,Walt Disney Pictures,Pixar Animation Studios,Disney Enterprises,,,,,339714978,01/05/2003,184,482582614,,8.2,70251710,91054639,203,3425,Re-issue: 2012,,,
101 Dalmatians,A,Buena Vista,Walt Disney Prod.,,,,,,,14000000,01/01/1961,30,474985373,,7.2,,,,,"Re-issues: 1969, 1979, 1985, 1991",,,
Lady and the Tramp,A,Buena Vista,Walt Disney Prod.,,,,,,,36359037,01/06/1955,27,465441526,,7.4,,,,,"Re-issue: 1980, 1986",http://www.boxofficemojo.com/movies/?id=ladyandthetramp.htm,http://www.imdb.com/title/tt0048280/business?ref_=tt_dt_bus,
Avengers: Age of Ultron,L,Walt Disney Studios Motion Pictures,Marvel Studios,,,,,,,459005868,01/05/2015,238,459467580,,7.6,191271109,191463508,161,4276,,,,
Toy Story 3,A,Walt Disney Studios Motion Pictures,Walt Disney Pictures,Pixar Animation Studios,,,,,,415004880,01/06/2010,218,452843028,,8.4,110307189,120364468,168,4028,,,,
Mary Poppins,H,Buena Vista,Walt Disney Productions,,,,,,,52043304,01/08/1964,31,439992071,,7.8,,,,,Re-issue: 1980,http://www.boxofficemojo.com/movies/?id=marypoppins.htm,http://www.imdb.com/title/tt0058331/business?ref_=tt_dt_bus,
The Sixth Sense,L,Buena Vista Pictures,Hollywood Pictures,Spyglass Entertainment,The Kennedy/Marshall Company,Barry Mendel Porductions,,,,293506292,01/06/1999,166,420017747,,8.2,26681262,38181817,,2161,,,,
Iron Man 3,L,Walt Disney Studios Motion Pictures,Marvel Studios,Paramount Pictures,DMG Entertainment,,,,,409013994,01/05/2013,233,417605316,,7.3,174144585,177802485,133,4253,Disney bought distrib. Rights 18/10/2010,,,
Frozen,A,Walt Disney Studios Motion Pictures,Walt Disney Animation Studios,Walt Disney Pictures,,,,,,400738009,01/11/2013,233,408937811,,7.6,67391326,68770271,238,3742,,,,
Pirates of the Caribbean: The Curse of the Black Pearl,L,Buena Vista Pictures,Walt Disney Pictures,Jerry Bruckheimer Films,,,,,,305413918,01/07/2003,184,394992036,,8.1,46630690,60307504,184,3416,,,,
Bambi,A,,Disney,,,,,,,3400000,01/08/1942,17,391782997,,7.4,,,,,"Re-issues: 1957, 1966, 1975, 1982, 1988",,,
Snow White and the Seven Dwarfs,A,RKO Radio Pictures,Walt Disney Prod.,,,,,,,8500000,01/12/1937,14,378629829,,7.7,,,,,"Re-issue: 1983, 1987, 1993",,http://www.imdb.com/title/tt0029583/business?ref_=tt_dt_bus,
Monster's Inc.,A,Buena Vista Pictures,Walt Disney Pictures,Pixar Animation Studios,,,,,,255873250,01/11/2001,177,378310430,,8.1,62577067,83896305,329,3649,Re-issue: 2012,,,
Alice in Wonderland,L,Walt Disney Studios Motion Pictures,Walt Disney Pictures,Roth Films,Team Todd,The Zanuck Company,Tim Burton Productions,,,334191110,01/05/2010,218,364305041,,6.5,116101023,126562876,,3728,,,,
Aladdin,A,Buena Vista Pics.,Walt Disney Pictures,Silver Screen Partners IV,Walt Disney Feature Animation,,,,,217350219,01/11/1992,142,364043249,,8,19289073,,,2331,,,,
Inside Out,A,Walt Disney Studios Motion Pictures,Walt Disney Pictures,Pixar Animation Studios,,,,,,356461711,01/06/2015,239,355242906,,8.4,90440272,90131041,164,4158,,,,
Pirates of the Caribbean: At World's End,L,Buena Vista Pictures,Walt Disney Pictures,Jerry Bruckheimer Films,Second Mate Productions,,,,,309420425,01/05/2007,208,353894152,,7.1,114732820,131223639,113,4362,,,,
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",L,Buena Vista Pictures,Walt Disney Pictures,Walden Media,,,,,,291710957,01/09/2005,199,348993715,,6.9,65556312,78429488,,3616,,,,
Toy Story 2,A,BV,Walt Disney Pictures,Pixar,,,,,,245852179,01/11/1999,168,347433099,,7.9,57388839,,,3257,,,,
Three Men and a Baby,L,Buena Vista Pictures,Touchstone,Silver Screen Partners III,Interscope Communications,,,,,167780960,01/11/1987,115,345794523,,5.9,10384392,,,1006,,,,
Guardians of the Galaxy,L,Walt Disney Studios Motion Pictures,Marvel Studios,Marvel Enterprises,Moving Picture Company,,,,,333176600,01/01/2014,234,338762873,,8.1,94320883,95902333,,4080,,,,
The Love Bug,L,Buena Vista,Walt Disney Productions,,,,,,,51264000,01/03/1969,36,337743137,,6.4,,,,,,http://www.boxofficemojo.com/movies/?id=lovebug.htm,http://www.imdb.com/title/tt0064603/?ref_=fn_al_tt_4,
Beauty and the Beast,A,Buena Vista,Walt Disney Pics./ Silver Screen Part. IV/ WD Feat.,,,,,,,145863363,01/11/1991,138,335947585,,8,9624149,,,1960,"Re-issues: 2002, 2012",,,
Pretty Woman,L,Buena Vista Pictures,Touch Stone,Silver Screen Partners IV,,,,,,178406268,01/03/1990,129,329695338,,6.9,11280591,,,1325,,,,
Up,A,Walt Disney Studios Motion Pictures,Walt Disney Pictures,Pixar Animation Studios,,,,,,293004164,01/05/2009,214,325861909,,8.3,68108790,75746570,161,3886,,,,
Incredibles,A,Buena Vista Pictures,Walt Disney Pictures,Pixar Animation Studios,,,,,,261441092,01/11/2004,191,325553018,,8,70467623,87748055,161,3933,,,,
Who Framed Roger Rabbit,H,Buena Vista Pictures,Touchstone,Amblin Entertainment,Silver Screen Partners III,Walt Disney Feature Animation,,,,156452370,01/06/1988,118,315341685,,7.7,11226239,,,1045,,,,
Signs,L,Buena Vista Pictures,Touch Stone,Blinding Edge Pictures,The Kennedy/Marshall Company,,,,,227966634,01/02/2002,178,304944479,,6.7,60117080,,,3264,,,,
Toy Story,A,,Walt Disney Pictures,Pixar,,,,,,191796233,01/11/1995,154,296981982,,8.3,29140617,,245,2574,1st of 3 film deal,,,
Armageddon,L,Buena Vista Pictures,Touch Stone,Jerry Bruckheimer Films,Valhalla Motion Pictures,,,,,201578182,01/07/1998,163,293768086,,6.6,36089972,,,3127,,,,
Cars,A,Buena Vista Pictures,Walt Disney Pictures,Pixar Animation Studios,,,,,,244082982,01/06/2006,203,286112411,,7.2,60119509,,133,3988,,,,
Brave,A,Walt Disney Studios Motion Pictures,Walt Disney Pictures,Pixar Animation Studios,,,,,,273283207,01/06/2012,230,282823712,,7.2,66323594,68638996,210,4164,,,,
Monster's University,A,Walt Disney Studios Motion Pictures,Walt Disney Pictures,Pixar Animation Studios,,,,,,268492764,01/06/2013,234,273476180,,7.4,82429469,83959418,182,4004,,,,
Pearl Harbor,L,Buena Vista Pictures,Touch Stone,Jerry Bruckheimer Films,,,,,,198542554,01/05/2001,178,265734181,,6,59078912,,,3214,,,,
Bears,L,Walt Disney Studios Motion Pictures,Disneynature,,,,,,,17780194,01/04/2014,237,260723143,,7.4,4776267,,,1720,,,,
Captain America: The Winter Soldier,L,Walt Disney Studios Motion Pictures,Marvel Entertainment,Marvel Studios,,,,,,259766572,01/04/2014,237,260723143,,7.8,95023721,95373639,140,3938,,,,
"Good Morning, Vietnam ",L,Buena Vista Pictures,Touchstone,Silver Screen Partners III,,,,,,123922370,01/12/1987,115,255402501,,7.3,194308,,,4,,,,
Pirates of the Caribbean: On Stranger Tides,L,Walt Disney Studios Motion Pictures,Walt Disney Pictures,Jerry Bruckheimer Films,Moving Picture Company,,,,,241071802,01/05/2011,226,253739690,,6.7,90151958,94889281,41,4164,,,,
"Honey, I Shrunk the Kids",L,Buena Vista,Doric,Silver Screen Partners III,,Walt Disney Pictures,,,,130724172,01/06/1989,124,250533244,,6.3,14262961,,,1498,,,,
National Treasure: Book of Secrets,L,Walt Disney Studios Motion Pictures,Walt Disney Pictures,Jerry Bruckheimer,Junction Entertainment,Saturn,Sparkler,NT3,,219964115,01/12/2007,210,249080278,,6.5,44783772,,,3832,,,,
Tarzan,A,Buena Vista Pics.,Walt Disney Pic./Walt Disney Feature Anim.,,,,,,,171091819,01/06/1999,166,244838364,,7.2,34221968,,,3005,,,,
WALL-E,A,Walt Disney Studios Motion Pictures,Walt Disney Pictures,Pixar Animation Studios,,,,,,223808164,01/06/2008,219,243265252,,8.4,63087526,,196,3992,,,,
